SL. NO,COURSE NAME,STATE,NAME AND ADDRESS OF THE COLLEGE,UNIVERSITY NAME,MANAGEMENT OF THE COLLEGE,YEAR OF INCEPTION OF COLLEGE,ACTUAL INTAKE (SEATS)
2108,M.Ch - Urology/Genito-Urinary Surgery,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,3
2109,M.B.B.S.,Haryana,"BPS Government Medical College for Women, Sonepat","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,2012,120
2110,DM - Pul. Med. & Critical Care Med.,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,2
2111,M.Ch - Thoracic Surgery/Cardio Thoracic Surgery/Cardio Vascular and thoracic Surgery,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,2
2112,MD - Anaesthesiology,Haryana,"Command Hospital,Chandimandir","Kurukshetra University, Kurukshetra",Govt.,,2
2113,MD - Radio Diagnosis/Radiology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,14
2114,MS - Orthopaedics,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,9
2115,MD - Paediatrics,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,9
2116,MD - Pathology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,10
2117,MD/MS - Ophthalmology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,4
2118,MD - Social & Preventive Medicine / Community Medicine,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,5
2119,MD - Forensic Medicine/Forensic Medicine & Toxicology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,3
2120,MD - Anaesthesiology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,14
2121,MD - Physiology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,5
2122,MD/MS - Anatomy,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,4
2123,MD - General Medicine,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,19
2124,MD - Microbiology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,3
2125,M.Ch - Plastic Surgery/Plastic & Reconstructive Surgery,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,1
2126,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,4
2127,MS - General Surgery,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,16
2128,MS - ENT,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,4
2129,MD - Bio-Chemistry,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,3
2130,MS - Obstetrics & Gynaecology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,9
2131,"MD - Dermatology , Venereology & Leprosy",Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,4
2132,MD - Pharmacology,Haryana,"Maharishi Markandeshwar Institute Of Medical Sciences & Research, Mullana, Ambala","Maharishi Marakandeshwar University (Deemed), Ambala",Trust,2003,3
2133,M.Ch - Paediatric Surgery,Haryana,"Pt. B D Sharma Postgraduate Institute of Medical Sciences, Rohtak (Haryana)","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,1960,1
2134,MS - General Surgery,Haryana,"Command Hospital,Chandimandir","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,,3
2135,MD - General Medicine,Haryana,"Command Hospital,Chandimandir","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,,2
2136,MD/MS - Ophthalmology,Haryana,"Command Hospital,Chandimandir","PT. B.D. Sharma University of Health Sciences, Rohtak",Govt.,,2
2137,Diploma in Radio-Diagnosis,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,3
2138,MD - Radiotherapy/ Radiation Oncology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,4
2139,MD - Anaesthesiology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,17
2140,Diploma in Child Health,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,2
2141,MS - General Surgery,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,15
2142,MD - Psychiatry,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,3
2143,Diploma in Anaesthesia,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,3
2144,MD/MS - Anatomy,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,2
2145,"MD - Dermatology , Venereology & Leprosy",Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,3
2146,MS - Obstetrics & Gynaecology,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,15
2147,M.B.B.S.,Himachal Pradesh,"All India Institute of Medical Sciences, Bilaspur","Statutory Autonomous, AIIMS (Bilaspur)",Govt.,,50
2148,MD - Pathology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,6
2149,MD - Physiology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,3
2150,Diploma in Oto-Rhino-Laryngology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,2
2151,"MD - Dermatology , Venereology & Leprosy",Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,3
2152,MD - Paediatrics,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,15
2153,MS - Orthopaedics,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,6
2154,MD - Pharmacology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,2
2155,MD - Social & Preventive Medicine / Community Medicine,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,4
2156,Diploma in Orthopaedics,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,1
2157,MD - Forensic Medicine/Forensic Medicine & Toxicology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,1
2158,MD - General Medicine,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,10
2159,MD - General Medicine,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,15
2160,MS - Obstetrics & Gynaecology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,13
2161,MD - Microbiology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,3
2162,MD/MS - Ophthalmology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,4
2163,MD - Radio Diagnosis/Radiology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,15
2164,MS - ENT,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,5
2165,M.B.B.S.,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,120
2166,Diploma in Clinical Pathology,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,2
2167,MD - Community Medicine,Himachal Pradesh,"Government Medical College, Nahan, Sirmour H.P.",Himachal Pradesh University,Govt.,2016,3
2168,MS - ENT,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,5
2169,MD - Paediatrics,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,11
2170,MD - Pathology,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,3
2171,MD - Microbiology,Himachal Pradesh,"Shri Lal Bahadur Shastri Government Medical College, Mandi, HP","Atal Medical and Research University, Nerchowk",Govt.,2017,4
2172,MD - Pharmacology,Himachal Pradesh,"Shri Lal Bahadur Shastri Government Medical College, Mandi, HP","Atal Medical and Research University, Nerchowk",Govt.,2017,2
2173,MS - Orthopaedics,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,6
2174,"MD - Dermatology , Venereology & Leprosy",Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,3
2175,MD - Psychiatry,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,2
2176,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,2
2177,MD - Radio Diagnosis/Radiology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,7
2178,MD - Paediatrics,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,6
2179,MS - Obstetrics & Gynaecology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,6
2180,MS - General Surgery,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,10
2181,MD - General Medicine,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,10
2182,MD/MS - Ophthalmology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,2
2183,MD - Anaesthesiology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,10
2184,MS - ENT,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,2
2185,M.B.B.S.,Himachal Pradesh,"Dr. Radhakrishnan Government Medical College, Hamirpur, H.P",Himachal Pradesh University,Govt.,2018,120
2186,MD - Forensic Medicine/Forensic Medicine & Toxicology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,3
2187,M.B.B.S.,Himachal Pradesh,"Shri Lal Bahadur Shastri Government Medical College, Mandi, HP",Himachal Pradesh University,Govt.,2017,120
2188,M.B.B.S.,Himachal Pradesh,"Pt. Jawahar Lal Nehru Government Medical College, Chamba",Himachal Pradesh University,Govt.,2017,120
2189,MD - Pharmacology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,3
2190,MD - Physiology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,3
2191,MD - Social & Preventive Medicine / Community Medicine,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,3
2192,MD/MS - Anatomy,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,3
2193,MD - Bio-Chemistry,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,3
2194,MD - Pathology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,5
2195,MD - Microbiology,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,3
2196,M.B.B.S.,Himachal Pradesh,"Government Medical College, Nahan, Sirmour H.P.",Himachal Pradesh University,Govt.,2016,120
2197,MD - Forensic Medicine/Forensic Medicine & Toxicology,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,2
2198,MD/MS - Anatomy,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,2
2199,M.B.B.S.,Himachal Pradesh,"Maharishi Markandeshwar Medical College & Hospital, Solan","Maharishi Marakandeshwar University, Kumarhatti, Solan",Trust,2013,150
2200,MD - Anaesthesiology,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,13
2201,MD/MS - Ophthalmology,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,4
2202,MD - Bio-Chemistry,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,2
2203,MD - Pharmacology,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,3
2204,MS - General Surgery,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,7
2205,MD - Radio Diagnosis/Radiology,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,3
2206,MS - Orthopaedics,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,6
2207,MD - Social & Preventive Medicine / Community Medicine,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,4
2208,MD - Microbiology,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,3
2209,MD - Tuberculosis & Respiratory Diseases / Pulmonary Medicine,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,3
2210,MD - Psychiatry,Himachal Pradesh,"Indira Gandhi Medical College, Shimla",Himachal Pradesh University,Govt.,1966,3
2211,M.B.B.S.,Himachal Pradesh,"Dr. Rajendar Prasad Government Medical College, Tanda, H.P",Himachal Pradesh University,Govt.,1996,120
2212,M.Ch - Plastic Surgery/Plastic & Reconstructive Surgery,Jammu & Kashmir,"Sher-I-Kashmir Instt. Of Medical Sciences, Srinagar","Deemed University, Jammu & Kashmir",Govt.,1988,4
2213,M.B.B.S.,Jammu & Kashmir,"Government Medical College, Jammu",Jammu University,Govt.,1972,180
2214,MD - Paediatrics,Jammu & Kashmir,"Government Medical College, Srinagar",Kashmir University,Govt.,1959,17
2215,M.Ch - Thoracic Surgery/Cardio Thoracic Surgery/Cardio Vascular and thoracic Surgery,Jammu & Kashmir,"Sher-I-Kashmir Instt. Of Medical Sciences, Srinagar","Deemed University, Jammu & Kashmir",Govt.,1988,5
2216,MD/MS - Ophthalmology,Jammu & Kashmir,"Sher-I-Kashmir Instt. Of Medical Sciences, Srinagar","Deemed University, Jammu & Kashmir",Govt.,1988,3
2217,MD - Radiotherapy/ Radiation Oncology,Jammu & Kashmir,"Sher-I-Kashmir Instt. Of Medical Sciences, Srinagar","Deemed University, Jammu & Kashmir",Govt.,1988,5
